"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"92",1618,3,"Sat",2017-04-08,2017,1899-12-31 04:35:00,"Geelong","Melbourne",29733,"Docklands",1.4,2.96,"194.5",1.4,2.96,1.56,31157.9865168539,-1424.98651685393,39256,-9523,-0.242587120440187,4
"93",1624,2,"Sun",2017-04-02,2017,1899-12-31 01:10:00,"Geelong","North Melbourne",30917,"Docklands",1.18,4.86,"201.5",1.18,4.86,3.68,31157.9865168539,-240.986516853933,39256,-8339,-0.212426125942531,1
"94",1647,23,"Sat",2018-08-25,2018,1899-12-31 01:45:00,"Geelong","Gold Coast",28004,"Kardinia",1.01,14.79,"179.5",1.01,14.79,13.78,24884.9718309859,3119.02816901408,24884.9718309859,3119.02816901408,0.125337821967328,1
"95",1655,22,"Sat",2018-08-18,2018,1899-12-31 02:10:00,"Geelong","Fremantle",24507,"Kardinia",1.05,9.4,"151.5",1.05,9.4,8.35,24884.9718309859,-377.971830985916,24884.9718309859,-377.971830985916,-0.01518875864329,2
"96",1682,19,"Sat",2018-07-28,2018,1899-12-31 02:10:00,"Geelong","Brisbane Lions",28226,"Kardinia",1.17,4.95,"180.5",1.17,4.95,3.78,24884.9718309859,3341.02816901408,24884.9718309859,3341.02816901408,0.134258868834802,2
"97",1689,18,"Sat",2018-07-21,2018,1899-12-31 07:25:00,"Geelong","Melbourne",30125,"Kardinia",1.5,2.55,"163.5",1.5,2.55,1.05,24884.9718309859,5240.02816901408,24884.9718309859,5240.02816901408,0.210569985957926,7
"98",1727,13,"Sun",2018-06-17,2018,1899-12-31 03:20:00,"Geelong","Richmond",46423,"M.C.G.",2.39,1.58,"133.5",1.58,2.39,0.81,50394.4829157175,-3971.48291571754,63025.65,-16602.65,-0.263426874613749,3
"99",1738,12,"Sat",2018-06-09,2018,1899-12-31 01:45:00,"Geelong","North Melbourne",31265,"Kardinia",1.43,2.81,"157.5",1.43,2.81,1.38,24884.9718309859,6380.02816901408,24884.9718309859,6380.02816901408,0.25638076716928,1
"100",1752,10,"Sat",2018-05-26,2018,1899-12-31 07:25:00,"Geelong","Carlton",31090,"Kardinia",1.07,8.86,"164.5",1.07,8.86,7.79,24884.9718309859,6205.02816901408,24884.9718309859,6205.02816901408,0.249348410404379,7
"101",1783,7,"Fri",2018-05-04,2018,1899-12-31 07:50:00,"Geelong","Greater Western Sydney",25079,"Kardinia",1.39,3.05,"159.5",1.39,3.05,1.66,24884.9718309859,194.028169014084,24884.9718309859,194.028169014084,0.00779700175398577,7
"102",1791,6,"Sat",2018-04-28,2018,1899-12-31 01:45:00,"Geelong","Sydney",31036,"Kardinia",1.45,2.74,"167.5",1.45,2.74,1.29,24884.9718309859,6151.02816901408,24884.9718309859,6151.02816901408,0.247178426031209,1
"103",1802,4,"Sun",2018-04-15,2018,1899-12-31 04:40:00,"Geelong","St Kilda",27338,"Kardinia",1.27,3.74,"177.5",1.27,3.74,2.47,24884.9718309859,2453.02816901408,24884.9718309859,2453.02816901408,0.0985746813649054,4
"104",1820,2,"Mon",2018-04-02,2018,1899-12-31 03:20:00,"Geelong","Hawthorn",73189,"M.C.G.",1.7,2.15,"186.5",1.7,2.15,0.45,50394.4829157175,22794.5170842825,63025.65,10163.35,0.161257361090286,3
