"","Date","Round","Day","Year","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket","Rain","rain.prior.day","rain.2days.prior","rain.3days.prior","rain.past.three.days","Home.Injuries.top5","Home.Injuries.top10","Home.Injuries.top25","Home.Injuries.top50","Home.Injuries.Total","Home.Rating.Points.Missing","Away.Injuries.top5","Away.Injuries.top10","Away.Injuries.top25","Away.Injuries.top50","Away.Injuries.Total","Away.Rating.Points.Missing","Total.Injuries.top5","Total.Injuries.top10","Total.Injuries.top25","Total.Injuries.top50","Total.Injuries.Total","Total.Rating.Points.Missing"
"73",2014-07-05,16,"Sat",2014,"Port Adelaide","Essendon",46786,"Adelaide",1.22,4.29,"178.5",1.22,4.29,3.07,43516.4,3269.6,40427.5357142857,6358.46428571428,0.157280531038339,7,"6.4","2.6","0","0","2.6",0,0,0,0,2,122.2,0,0,1,1,1,91.3157894736842,0,0,1,1,3,213.515789473684
"74",2014-07-11,17,"Fri",2014,"Adelaide","Hawthorn",50321,"Adelaide",2.13,1.7,"170.5",1.7,2.13,0.43,43516.4,6804.6,46719.6666666667,3601.33333333334,0.077083883303962,7,"0.8","13.4","23.8","0","37.200000000000003",0,0,0,1,1,81.4210526315789,0,0,0,1,2,135.372727272727,0,0,0,2,3,216.793779904306
"75",2014-07-20,18,"Sun",2014,"Port Adelaide","Melbourne",37894,"Adelaide",1.06,8.81,"167.5",1.06,8.81,7.75,43516.4,-5622.4,40427.5357142857,-2533.53571428572,-0.0626685665975543,12,"0","0","9.6","21.4","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2014-08-02,19,"Sat",2014,"Adelaide","West Coast",49470,"Adelaide",1.18,4.93,"181.5",1.18,4.93,3.75,43516.4,5953.6,46719.6666666667,2750.33333333334,0.0588688560848751,1,"0.8","20.6","0","7","27.6",0,0,0,0,0,0,0,0,1,1,2,155.77731092437,0,0,1,1,2,155.77731092437
"77",2014-08-09,20,"Sat",2014,"Port Adelaide","Sydney",50087,"Adelaide",3.05,1.38,"171.5",1.38,3.05,1.67,43516.4,6570.6,40427.5357142857,9659.46428571428,0.238932799515182,7,"0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2014-08-16,21,"Sat",2014,"Adelaide","Richmond",50459,"Adelaide",1.46,2.71,"178.5",1.46,2.71,1.25,43516.4,6942.6,46719.6666666667,3739.33333333334,0.0800376715016518,7,"0","0","0","0","0",0,0,0,0,2,116.975,0,0,1,1,1,88.6923076923077,0,0,1,1,3,205.667307692308
"79",2014-08-22,22,"Fri",2014,"Port Adelaide","Carlton",52505,"Adelaide",1.27,3.78,"178.5",1.27,3.78,2.51,43516.4,8988.6,40427.5357142857,12077.4642857143,0.298743519047749,7,"0","0","0","0.4","0.4",0,0,0,0,0,0,0,0,0,1,2,136.388461538461,0,0,0,1,2,136.388461538461
"80",2014-08-31,23,"Sun",2014,"Adelaide","St Kilda",44969,"Adelaide",1.04,11.16,"192.5",1.04,11.16,10.12,43516.4,1452.6,46719.6666666667,-1750.66666666666,-0.0374717285368759,2,"0","0","0","0","0",0,0,0,0,1,59.125,0,0,0,0,1,54.6666666666666,0,0,0,0,2,113.791666666667
"81",2015-04-05,1,"Sun",2015,"Adelaide","North Melbourne",45607,"Adelaide",1.7,2.14,"185.5",1.7,2.14,0.44,43516.4,2090.6,46719.6666666667,-1112.66666666666,-0.0238158091881363,2,"0","0","0","2.2000000000000002","2.2000000000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2015-04-11,2,"Sat",2015,"Port Adelaide","Sydney",49765,"Adelaide",1.61,2.34,"173.5",1.61,2.34,0.73,43516.4,6248.6,40427.5357142857,9337.46428571428,0.230967931157247,7,"0.2","0","0.2","0.6","0.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
